,enc001_ml_split_2,enc001_ml_split_3,enc001_ml_split_4,enc001_ml_split_5,enc001_ml_split_6,enc001_ml_split_7,enc001_ml_split_8,enc001_ml_split_9,enc001_ml_split_10,enc001_ml_split_11
enc001_ml_split_2,100.0,56.81,57.75,59.1,57.01,59.39,60.56,64.08,59.15,62.21
enc001_ml_split_3,56.81,100.0,57.01,57.68,55.82,56.36,57.24,57.01,56.11,59.73
enc001_ml_split_4,57.75,57.01,100.0,58.87,58.91,59.55,58.23,60.79,57.58,59.75
enc001_ml_split_5,59.1,57.68,58.87,100.0,58.19,59.81,61.23,62.88,60.28,61.23
enc001_ml_split_6,57.01,55.82,58.91,58.19,100.0,59.62,60.33,62.47,59.14,61.28
enc001_ml_split_7,59.39,56.36,59.55,59.81,59.62,100.0,60.91,62.95,59.32,58.64
enc001_ml_split_8,60.56,57.24,58.23,61.23,60.33,60.91,100.0,61.18,59.34,58.05
enc001_ml_split_9,64.08,57.01,60.79,62.88,62.47,62.95,61.18,100.0,60.44,62.71
enc001_ml_split_10,59.15,56.11,57.58,60.28,59.14,59.32,59.34,60.44,100.0,60.66
enc001_ml_split_11,62.21,59.73,59.75,61.23,61.28,58.64,58.05,62.71,60.66,100.0
