hp_setting,split,balanced_accuracy,auc
enc01_ml,1,0.7333333333333334,0.8469135802469135
enc01_ml,2,0.5738916256157636,0.7229064039408867
enc01_ml,3,0.6873449131513648,0.8176178660049628
enc01_ml,4,0.7678571428571429,0.8252551020408163
enc01_ml,5,0.6783625730994152,0.8230994152046783
enc01_ml,6,0.6537433155080213,0.8168449197860963
enc01_ml,7,0.7341935483870967,0.8916129032258064
enc01_ml,8,0.7045454545454546,0.7727272727272727
enc01_ml,9,0.6302083333333333,0.7955729166666666
enc01_ml,10,0.65,0.8346153846153846
enc001_ml,1,0.9,0.9654320987654321
enc001_ml,2,0.7869458128078818,0.8891625615763548
enc001_ml,3,0.9162531017369727,0.9478908188585609
enc001_ml,4,0.75,0.8966836734693877
enc001_ml,5,0.8523391812865497,0.9269005847953217
enc001_ml,6,0.7085561497326203,0.8168449197860963
enc001_ml,7,0.8993548387096775,0.9651612903225806
enc001_ml,8,0.9184491978609626,0.9679144385026737
enc001_ml,9,0.8645833333333333,0.9427083333333333
enc001_ml,10,0.9141025641025642,0.9846153846153846
enc0001_ml,1,0.9314814814814815,0.9777777777777776
enc0001_ml,2,0.8257389162561577,0.8719211822660099
enc0001_ml,3,0.8554590570719602,0.9292803970223326
enc0001_ml,4,0.8928571428571428,0.9068877551020409
enc0001_ml,5,0.827485380116959,0.9619883040935673
enc0001_ml,6,0.7393048128342246,0.8689839572192514
enc0001_ml,7,0.8064516129032258,0.9251612903225807
enc0001_ml,8,0.8288770053475936,0.9251336898395722
enc0001_ml,9,0.796875,0.8776041666666666
enc0001_ml,10,0.7884615384615384,0.9512820512820513
enc00001_ml,1,0.5,0.5
enc00001_ml,2,0.5,0.5
enc00001_ml,3,0.5,0.5
enc00001_ml,4,0.5,0.5
enc00001_ml,5,0.5,0.5
enc00001_ml,6,0.5,0.5
enc00001_ml,7,0.5,0.5
enc00001_ml,8,0.5,0.5
enc00001_ml,9,0.5,0.5
enc00001_ml,10,0.5,0.5
enc000001_ml,1,0.5,0.5
enc000001_ml,2,0.5,0.5
enc000001_ml,3,0.5,0.5
enc000001_ml,4,0.5,0.5
enc000001_ml,5,0.5,0.5
enc000001_ml,6,0.5,0.5
enc000001_ml,7,0.5,0.5
enc000001_ml,8,0.5,0.5
enc000001_ml,9,0.5,0.5
enc000001_ml,10,0.5,0.5
